"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,1077830.3505,"P","Provisional value"
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,1158229.0752,"P","Provisional value"
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,237880.9083,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,244797.2266,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,216236.6088,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,226369.5021,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,229596.1708,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,199313.8943,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,206286.0228,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,220811.1105,,
"PRT","Portugal","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,240674.5245,"P","Provisional value"
