"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2016","2016","USD","US Dollar","0","Units",,,19401063797,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25565133577,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2018","2018","USD","US Dollar","0","Units",,,36677760992,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2011","2011","USD","US Dollar","0","Units",,,23036373990,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2012","2012","USD","US Dollar","0","Units",,,19697178042,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2013","2013","USD","US Dollar","0","Units",,,17698988486,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2014","2014","USD","US Dollar","0","Units",,,15630692553,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2015","2015","USD","US Dollar","0","Units",,,11829492654,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2016","2016","USD","US Dollar","0","Units",,,11154717073,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2017","2017","USD","US Dollar","0","Units",,,13652734788,,
"AUS","Australia","EXP","Exports","KOR","Korea","A","Annual","2018","2018","USD","US Dollar","0","Units",,,16503048583,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2011","2011","USD","US Dollar","0","Units",,,986138,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2012","2012","USD","US Dollar","0","Units",,,1829882,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2013","2013","USD","US Dollar","0","Units",,,2409193,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2014","2014","USD","US Dollar","0","Units",,,749390,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2015","2015","USD","US Dollar","0","Units",,,9151186,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2016","2016","USD","US Dollar","0","Units",,,1420293,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2017","2017","USD","US Dollar","0","Units",,,2299173,,
"AUS","Australia","EXP","Exports","LUX","Luxembourg","A","Annual","2018","2018","USD","US Dollar","0","Units",,,43195423,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1159872536,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2012","2012","USD","US Dollar","0","Units",,,879431904,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2013","2013","USD","US Dollar","0","Units",,,352231311,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2014","2014","USD","US Dollar","0","Units",,,438087548,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2015","2015","USD","US Dollar","0","Units",,,405059809,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2016","2016","USD","US Dollar","0","Units",,,271221726,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2017","2017","USD","US Dollar","0","Units",,,133005519,,
"AUS","Australia","EXP","Exports","MEX","Mexico","A","Annual","2018","2018","USD","US Dollar","0","Units",,,175294674,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2011","2011","USD","US Dollar","0","Units",,,2993995869,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2012","2012","USD","US Dollar","0","Units",,,2489785012,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2013","2013","USD","US Dollar","0","Units",,,2004563756,,
